timestamp,model_name,provider,input_tokens,output_tokens,total_tokens,cost_usd,duration_ms,session_id,agent_id,task_id,framework
2025-09-27T22:27:25.015737,gpt-3.5-turbo,openai,800,300,1100,0.0014,1500,dev_session_1,code_reviewer,review_001,langgraph
2025-09-27T22:27:25.116059,gpt-4,openai,1200,600,1800,0.072,3000,dev_session_1,developer,bugfix_001,langgraph
2025-09-27T22:27:25.217527,gpt-3.5-turbo,openai,600,400,1000,0.0014,1200,dev_session_1,tester,test_001,langgraph
2025-09-27T22:27:25.318842,claude-3-sonnet,anthropic,500,200,700,0.0045000000000000005,1000,test_session_2,qa_agent,qa_test_1,crewai
2025-09-27T22:27:25.370119,claude-3-sonnet,anthropic,600,250,850,0.005549999999999999,1200,test_session_2,qa_agent,qa_test_2,crewai
2025-09-27T22:27:25.421644,claude-3-sonnet,anthropic,700,300,1000,0.0066,1400,test_session_2,qa_agent,qa_test_3,crewai
2025-09-27T22:27:25.472536,claude-3-sonnet,anthropic,800,350,1150,0.00765,1600,test_session_2,qa_agent,qa_test_4,crewai
2025-09-27T22:27:25.522992,claude-3-sonnet,anthropic,900,400,1300,0.0087,1800,test_session_2,qa_agent,qa_test_5,crewai
2025-09-27T22:27:25.574395,llama3.1:8b,ollama,1000,500,1500,0.0,2000,local_session_3,local_agent,local_task_1,ollama
2025-09-27T22:27:25.675652,llama3.1:8b,ollama,1200,600,1800,0.0,2500,local_session_3,local_agent,local_task_2,ollama
2025-09-27T22:27:25.776925,llama3.1:8b,ollama,1400,700,2100,0.0,3000,local_session_3,local_agent,local_task_3,ollama
2025-09-27T22:27:25.878202,gpt-4,openai,2000,1500,3500,0.15,4000,expensive_session,expensive_agent,expensive_task_1,
2025-09-27T22:27:25.878298,gpt-4,openai,2000,1500,3500,0.15,4000,expensive_session,expensive_agent,expensive_task_2,
2025-09-27T22:27:25.878330,gpt-4,openai,2000,1500,3500,0.15,4000,expensive_session,expensive_agent,expensive_task_3,
